iter	Logloss
0	0.6879100484
1	0.6828441182
2	0.6779212388
3	0.6715760402
4	0.6673427701
5	0.6628684714
6	0.657639709
7	0.6528019979
8	0.6493870912
9	0.6452960594
10	0.6399277694
11	0.634843123
12	0.6306198056
13	0.626726841
14	0.6217090468
15	0.617153391
16	0.6131424459
17	0.6088951114
18	0.6050173083
19	0.6017521575
20	0.5972088775
21	0.5918690089
22	0.5882748868
23	0.5859164029
24	0.5812481233
25	0.5779716691
26	0.5744521663
27	0.5698230283
28	0.5662941788
29	0.5618620328
30	0.5576326953
31	0.5530368972
32	0.5493944181
33	0.5463751091
34	0.5438118493
35	0.5408166222
36	0.5362967146
37	0.5335007803
38	0.5300733112
39	0.5266859866
40	0.5238469765
41	0.5204933914
42	0.5177352867
43	0.5135418963
44	0.5089137941
45	0.5058788809
46	0.502629432
47	0.4996985888
48	0.4967536433
49	0.4935698311
50	0.489891863
51	0.4868728048
52	0.4840550523
53	0.4809352119
54	0.4767445004
55	0.4734858221
56	0.4710358173
57	0.4670081052
58	0.4649084913
59	0.4620986354
60	0.4597958847
61	0.4567946371
62	0.4539584321
63	0.4512729601
64	0.4484465465
65	0.446425243
66	0.4434086637
67	0.4409168664
68	0.4379181061
69	0.4352209525
70	0.4329137375
71	0.4301700273
72	0.4266943621
73	0.42457222
74	0.4228916329
75	0.4202148078
76	0.4182831384
77	0.4159648238
78	0.4137139949
79	0.4116018569
80	0.4090043247
81	0.4067078869
82	0.4040928212
83	0.4017396576
84	0.3998260321
85	0.3973209368
86	0.3947764558
87	0.392680183
88	0.390676627
89	0.3885215783
90	0.3862689171
91	0.3839397506
92	0.3812568112
93	0.3789461961
94	0.3759719402
95	0.3738678534
96	0.3720305665
97	0.3706289556
98	0.3681063647
99	0.3658700648
100	0.3644730856
101	0.362381727
102	0.3610349918
103	0.3591424032
104	0.3573210323
105	0.3550988431
106	0.3533904253
107	0.3517867104
108	0.350122614
109	0.3483890724
110	0.3467018011
111	0.3448774591
112	0.3432014477
113	0.3416966735
114	0.3400396368
115	0.3385469148
116	0.3371613482
117	0.3352685423
118	0.3334881236
119	0.3315384736
120	0.3306809288
121	0.3287755758
122	0.3273126253
123	0.3253965246
124	0.3243643385
125	0.3231434972
126	0.3218421403
127	0.3207350557
128	0.3189174438
129	0.3176880286
130	0.3156593569
131	0.3140717022
132	0.3128174268
133	0.3115687905
134	0.3100845699
135	0.3088019941
136	0.3080943288
137	0.3067161626
138	0.3055594467
139	0.3044387862
140	0.3030796149
141	0.3012955675
142	0.300174081
143	0.298913343
144	0.2974508824
145	0.2964065797
146	0.2950317119
147	0.2941361092
148	0.2927354698
149	0.2914631749
150	0.2904159539
151	0.2895104382
152	0.2881901401
153	0.2872767603
154	0.285821591
155	0.284594459
156	0.283949692
157	0.2827036313
158	0.2815662469
159	0.2803085962
160	0.2791309242
161	0.27796557
162	0.2768831885
163	0.2758763639
164	0.2752681536
165	0.2740751295
166	0.2732237241
167	0.2720065663
168	0.2707790163
