iter	Passed	Remaining
214	339	1239
215	340	1236
216	341	1232
217	342	1228
218	343	1225
219	344	1221
220	345	1218
221	346	1214
222	347	1210
223	348	1207
224	349	1203
225	350	1200
226	351	1196
227	352	1193
228	353	1189
229	354	1186
230	355	1182
231	356	1179
232	357	1175
233	358	1172
234	359	1169
235	360	1166
236	361	1162
237	362	1159
238	363	1156
239	364	1153
240	365	1149
241	366	1146
242	367	1143
243	367	1140
244	368	1136
245	369	1133
246	370	1130
247	371	1127
248	372	1124
249	373	1121
250	374	1118
251	375	1115
252	376	1112
253	377	1109
254	378	1106
255	379	1103
256	380	1100
257	381	1097
258	382	1094
259	383	1091
260	384	1089
261	385	1086
262	386	1083
263	387	1080
264	388	1077
265	389	1075
266	390	1072
267	391	1069
268	392	1066
269	393	1064
270	394	1061
271	395	1058
272	396	1055
273	397	1053
274	398	1050
275	399	1047
276	400	1045
277	401	1042
278	402	1039
279	403	1036
280	404	1034
281	405	1031
282	405	1028
283	406	1025
284	407	1023
285	408	1020
286	409	1017
287	410	1014
288	411	1011
289	412	1009
290	413	1006
291	414	1003
292	415	1001
293	415	998
294	416	996
295	417	993
296	418	991
297	419	988
298	420	986
299	421	983
300	422	981
301	423	978
302	424	976
303	425	973
304	426	971
305	427	968
306	428	966
307	429	963
308	429	961
309	430	959
310	431	956
311	432	954
312	433	952
313	434	949
314	435	947
315	436	945
316	437	942
317	438	940
318	439	937
319	440	935
320	441	933
321	442	930
322	442	928
323	443	926
324	444	923
325	445	921
326	446	919
327	447	917
328	448	914
329	449	912
330	450	910
331	451	907
332	452	905
333	453	903
334	454	901
335	454	899
336	455	896
337	456	894
338	457	892
339	458	890
340	459	888
341	460	886
342	461	884
343	462	881
344	463	879
345	464	877
346	465	875
347	466	873
348	467	871
349	468	869
350	469	867
351	469	865
352	470	863
353	471	861
354	472	859
355	473	857
356	474	855
357	475	853
358	476	851
359	477	849
360	478	847
361	479	845
362	480	843
363	481	841
364	482	839
365	483	837
366	484	835
367	485	833
368	486	831
369	486	829
370	487	827
371	488	825
372	489	823
373	490	821
374	491	819
375	492	817
376	493	815
377	494	813
378	495	811
379	496	809
380	497	807
381	498	805
382	499	804
383	499	802
384	500	800
385	501	798
386	502	796
387	503	794
388	504	792
389	505	790
390	506	788
391	507	787
392	508	785
393	509	783
394	510	781
395	511	779
396	512	777
397	513	776
398	514	774
399	515	772
400	515	770
401	516	768
402	517	767
403	518	765
404	519	763
405	520	761
406	521	759
407	522	758
408	523	756
409	524	754
410	525	752
411	526	751
412	527	749
413	528	747
414	529	745
415	530	744
416	531	742
417	532	740
418	532	739
419	533	737
420	534	735
421	535	733
422	536	732
423	537	730
424	538	728
425	539	726
426	540	725
427	541	723
428	542	721
429	543	719
430	544	718
431	544	716
432	545	714
433	546	713
434	547	711
435	548	709
436	549	708
437	550	706
438	551	704
439	552	703
440	553	701
441	554	699
442	555	698
443	556	696
444	557	694
445	558	693
446	558	691
447	559	689
448	560	688
449	561	686
450	562	684
451	563	683
452	564	681
453	565	680
454	566	678
455	567	676
456	568	675
457	569	673
458	570	672
459	571	670
460	572	668
461	573	667
462	574	665
463	575	664
464	575	662
465	576	661
466	577	659
467	578	657
468	579	656
469	580	654
470	581	653
471	582	651
472	583	650
473	584	648
474	585	646
475	586	645
476	587	643
477	588	642
478	589	640
479	589	639
480	590	637
481	591	636
482	592	634
483	593	633
484	594	631
485	595	629
486	596	628
487	597	626
488	598	625
489	599	623
490	600	622
491	601	620
492	602	619
493	603	617
494	603	616
495	604	614
496	605	613
497	606	611
498	607	610
499	608	608
500	609	606
501	610	605
502	611	604
503	612	602
504	613	601
505	614	599
506	614	598
507	615	596
508	616	595
509	617	593
510	618	592
511	619	590
512	620	589
513	621	587
514	622	586
515	623	584
516	624	583
517	625	581
518	626	580
519	627	579
520	628	577
521	629	576
522	630	574
523	631	573
524	631	571
525	632	570
526	633	568
527	634	567
528	635	566
529	636	564
530	637	563
531	638	561
532	639	560
533	640	558
534	641	557
535	642	556
536	643	554
537	644	553
538	645	551
539	646	550
540	646	548
541	647	547
542	648	546
543	649	544
544	650	543
545	651	541
546	652	540
547	653	539
548	654	537
549	655	536
550	656	534
551	657	533
552	658	532
553	659	530
554	659	529
555	660	527
556	661	526
557	662	525
558	663	523
559	664	522
560	665	520
561	666	519
562	667	518
563	668	516
564	669	515
565	670	513
566	671	512
567	672	511
568	673	509
569	674	508
570	674	507
571	675	505
572	676	504
573	677	503
574	678	501
575	679	500
576	680	498
577	681	497
578	682	496
579	683	494
580	684	493
581	685	492
582	686	490
583	686	489
584	687	487
585	688	486
586	689	485
587	690	483
588	691	482
589	692	481
590	693	479
591	694	478
592	695	477
593	696	475
594	697	474
595	698	473
596	698	471
597	699	470
598	700	469
599	701	467
600	702	466
601	703	465
602	704	463
603	705	462
604	706	461
605	707	459
606	708	458
607	709	457
608	709	455
609	710	454
610	711	453
611	712	451
612	713	450
613	714	449
614	715	447
615	716	446
616	717	445
617	718	443
618	719	442
619	720	441
620	720	440
621	721	438
622	722	437
623	723	436
624	724	434
625	725	433
626	726	432
627	727	430
628	728	429
629	729	428
630	730	426
631	731	425
632	732	424
633	732	423
634	733	421
635	734	420
636	735	419
637	736	418
638	737	416
639	738	415
640	739	414
641	740	412
642	741	411
643	742	410
644	743	409
645	744	407
646	745	406
647	746	405
648	747	404
649	748	402
650	749	401
651	750	400
652	751	399
653	752	397
654	752	396
655	753	395
656	754	394
657	755	392
658	756	391
659	757	390
660	758	389
661	759	387
662	760	386
663	761	385
664	762	383
665	763	382
666	764	381
667	765	380
668	766	379
669	767	377
670	767	376
671	768	375
672	769	374
673	770	372
674	771	371
675	772	370
676	773	368
677	774	367
678	775	366
679	776	365
680	776	363
681	777	362
682	778	361
683	779	360
684	780	358
685	781	357
686	782	356
687	783	355
688	784	354
689	785	352
690	786	351
691	787	350
692	787	349
693	788	347
694	789	346
695	790	345
696	791	344
697	792	342
698	793	341
699	794	340
700	795	339
701	796	338
702	797	336
703	798	335
704	799	334
705	800	333
706	800	331
707	801	330
708	802	329
709	803	328
710	804	327
711	805	325
712	806	324
713	807	323
714	808	322
715	809	320
716	810	319
717	811	318
718	811	317
719	812	316
720	813	314
721	814	313
722	815	312
723	816	311
724	817	310
725	818	308
726	819	307
727	820	306
728	821	305
729	822	304
730	823	302
731	824	301
732	825	300
733	825	299
734	826	298
735	827	296
736	828	295
737	829	294
738	830	293
739	831	292
740	832	290
741	833	289
742	834	288
743	835	287
744	836	286
745	837	285
746	838	283
747	838	282
748	839	281
749	840	280
750	841	279
751	842	277
752	843	276
753	844	275
754	845	274
755	846	273
756	847	272
757	848	270
758	849	269
759	850	268
760	851	267
761	852	266
762	852	264
763	853	263
764	854	262
765	855	261
766	856	260
767	857	259
768	858	257
769	859	256
770	860	255
771	861	254
772	862	253
773	862	251
774	863	250
775	864	249
776	865	248
777	866	247
778	867	246
779	868	244
780	869	243
781	870	242
782	871	241
783	872	240
784	873	239
785	874	237
786	875	236
787	875	235
788	876	234
789	877	233
790	878	232
791	879	231
792	880	229
793	881	228
794	882	227
795	883	226
796	884	225
797	885	224
798	886	222
799	887	221
800	888	220
801	889	219
802	890	218
803	890	217
804	891	216
805	892	214
806	893	213
807	894	212
808	895	211
809	896	210
810	897	209
811	898	207
812	899	206
813	900	205
814	901	204
815	902	203
816	903	202
817	904	201
818	904	199
819	905	198
820	906	197
821	907	196
822	908	195
823	909	194
824	910	193
825	911	192
826	912	190
827	913	189
828	914	188
829	915	187
830	916	186
831	916	185
832	917	184
833	918	182
834	919	181
835	920	180
836	921	179
837	922	178
838	923	177
839	924	176
840	925	174
841	925	173
842	926	172
843	927	171
844	928	170
845	929	169
846	930	168
847	931	166
848	932	165
849	933	164
850	934	163
851	935	162
852	935	161
853	936	160
854	937	159
855	938	157
856	939	156
857	940	155
858	941	154
859	942	153
860	943	152
861	944	151
862	945	150
863	946	149
864	947	147
865	948	146
866	949	145
867	950	144
868	951	143
869	952	142
870	953	141
871	954	140
872	955	138
873	956	137
874	956	136
875	957	135
876	958	134
877	959	133
878	960	132
879	961	131
880	962	130
881	963	128
882	964	127
883	965	126
884	966	125
885	967	124
886	968	123
887	969	122
888	969	121
889	970	119
890	971	118
891	972	117
892	973	116
893	974	115
894	975	114
895	976	113
896	977	112
897	978	111
898	979	109
899	979	108
900	980	107
901	981	106
902	982	105
903	983	104
904	984	103
905	985	102
906	986	101
907	987	100
908	988	98
909	989	97
910	990	96
911	990	95
912	991	94
913	992	93
914	993	92
915	994	91
916	995	90
917	996	89
918	997	87
919	998	86
920	999	85
921	1000	84
922	1000	83
923	1001	82
924	1002	81
925	1003	80
926	1004	79
927	1005	78
928	1006	76
929	1007	75
930	1008	74
931	1009	73
932	1009	72
933	1010	71
934	1011	70
935	1012	69
936	1013	68
937	1014	67
938	1015	65
939	1016	64
940	1017	63
941	1018	62
942	1019	61
943	1020	60
944	1020	59
945	1021	58
946	1022	57
947	1023	56
948	1024	55
949	1025	53
950	1026	52
951	1027	51
952	1028	50
953	1029	49
954	1030	48
955	1031	47
956	1031	46
957	1032	45
958	1033	44
959	1034	43
960	1035	42
961	1036	40
962	1037	39
963	1038	38
964	1039	37
965	1040	36
966	1041	35
967	1042	34
968	1043	33
969	1043	32
970	1044	31
971	1045	30
972	1046	29
973	1047	27
974	1048	26
975	1049	25
976	1050	24
977	1051	23
978	1052	22
979	1053	21
980	1054	20
981	1055	19
982	1056	18
983	1057	17
984	1058	16
985	1059	15
986	1060	13
987	1061	12
988	1061	11
989	1062	10
990	1063	9
991	1064	8
992	1065	7
993	1066	6
994	1067	5
995	1068	4
996	1069	3
997	1070	2
998	1071	1
999	1072	0
